Left	Middle	Right	Distance	DistanceLeft	DistanceRight	Action
0	0	1	46	0	0	L
1	0	1	45	0	0	U
1	0	1	44	0	0	U
1	0	1	41	0	0	U
1	0	1	40	0	0	U
1	0	0	39	0	0	U
1	0	0	36	0	0	U
1	1	0	35	0	0	U
1	1	0	33	0	0	R
1	0	1	33	0	0	U
1	0	1	32	0	0	U
1	0	1	30	0	0	U
1	0	1	29	0	0	U
1	0	1	27	0	0	U
1	0	1	25	0	0	U
0	0	1	24	0	0	U
0	0	1	22	0	0	L
1	0	0	22	0	0	R
1	0	1	22	0	0	U
1	0	1	21	0	0	U
0	0	1	19	0	0	L
0	0	0	19	0	0	U
1	0	0	17	0	0	U
1	1	0	15	0	0	R
1	0	1	16	0	0	U
1	0	1	15	0	0	U
1	1	1	13	0	0	U
1	1	1	12	0	0	*
1	1	1	11	80	88	U
1	1	1	10	0	0	R
1	1	1	12	0	0	R
1	1	1	85	0	0	R
1	1	1	84	0	0	R
1	1	1	84	0	0	R
1	1	1	84	0	0	R
1	1	1	85	0	0	R
1	1	0	86	0	0	R
1	1	0	95	0	0	R
1	1	0	90	0	0	R
1	0	0	92	0	0	R
1	0	0	91	0	0	R
0	0	0	91	0	0	L
1	0	0	92	0	0	U
1	1	0	91	0	0	R
1	1	0	90	0	0	R
1	0	0	90	0	0	U
1	1	0	90	0	0	R
1	1	0	91	0	0	R
1	1	0	89	0	0	R
1	0	0	89	0	0	U
1	1	0	86	0	0	U
1	1	1	84	0	0	R
1	1	0	84	0	0	R
1	1	0	89	0	0	R
1	0	1	86	0	0	U
1	1	0	86	0	0	R
1	0	1	86	0	0	U
1	0	1	86	0	0	U
1	0	1	86	0	0	U
1	1	0	86	0	0	U
1	1	0	86	0	0	R
0	0	0	86	0	0	R
0	0	0	86	0	0	R
0	1	0	86	0	0	R
0	1	0	86	0	0	R
0	1	0	86	0	0	R
0	1	0	86	0	0	R
1	1	0	86	0	0	R
1	1	1	86	0	0	L
1	1	0	86	0	0	R
1	1	1	86	0	0	R
1	1	1	86	0	0	R
1	1	1	86	0	0	R
1	1	1	69	0	0	R
1	1	1	82	0	0	R
1	1	1	80	0	0	U
1	1	1	83	0	0	U
1	1	1	68	0	0	R
1	1	1	68	0	0	*
1	1	1	80	108	127	U
1	1	1	79	0	0	U
1	1	0	67	0	0	U
1	1	0	66	0	0	R
1	1	0	66	0	0	R
1	1	0	66	0	0	R
1	1	0	95	0	0	R
1	1	0	80	0	0	D
1	1	1	84	0	0	D
1	1	1	76	0	0	D
1	1	1	90	0	0	R
1	1	1	78	0	0	R
1	1	1	78	0	0	R
1	1	1	78	0	0	R
1	1	1	77	0	0	R
1	1	1	77	0	0	R
1	1	1	77	0	0	R
1	1	0	77	0	0	R
1	1	0	90	0	0	R
1	1	0	90	0	0	R
